status,stem,image_file,text_file
paired,122135334339113602,122135334339113602.jpg,122135334339113602.txt
paired,122136704997113602,122136704997113602.jpg,122136704997113602.txt
paired,122109472665113602,122109472665113602.jpg,122109472665113602.txt
paired,122126981481113602,122126981481113602.jpg,122126981481113602.txt
paired,122130715923113602,122130715923113602.jpg,122130715923113602.txt
paired,122132067549113602,122132067549113602.jpg,122132067549113602.txt
paired,122135472717113602,122135472717113602.jpg,122135472717113602.txt
paired,122126114253113602,122126114253113602.jpg,122126114253113602.txt
paired,122137456431113602,122137456431113602.jpg,122137456431113602.txt
paired,122135948241113602,122135948241113602.jpg,122135948241113602.txt
paired,122136204561113602,122136204561113602.jpg,122136204561113602.txt
paired,122132714319113602,122132714319113602.jpg,122132714319113602.txt
paired,122132067573113602,122132067573113602.jpg,122132067573113602.txt
paired,122130926583113602,122130926583113602.jpg,122130926583113602.txt
paired,122106531987113602,122106531987113602.jpg,122106531987113602.txt
paired,122118096219113602,122118096219113602.jpg,122118096219113602.txt
paired,122117266827113602,122117266827113602.jpg,122117266827113602.txt
paired,122136704985113602,122136704985113602.jpg,122136704985113602.txt
paired,122112621633113602,122112621633113602.jpg,122112621633113602.txt
paired,122136704991113602,122136704991113602.jpg,122136704991113602.txt
paired,122114804085113602,122114804085113602.jpg,122114804085113602.txt
paired,122133917613113602,122133917613113602.jpg,122133917613113602.txt
paired,122135620155113602,122135620155113602.jpg,122135620155113602.txt
paired,122132067513113602,122132067513113602.jpg,122132067513113602.txt
paired,122138040687113602,122138040687113602.jpg,122138040687113602.txt
paired,122134357263113602,122134357263113602.jpg,122134357263113602.txt
paired,122128652367113602,122128652367113602.jpg,122128652367113602.txt
paired,122126114301113602,122126114301113602.jpg,122126114301113602.txt
paired,122130490935113602,122130490935113602.jpg,122130490935113602.txt
paired,122129332743113602,122129332743113602.jpg,122129332743113602.txt
paired,122132388495113602,122132388495113602.jpg,122132388495113602.txt
paired,122131498653113602,122131498653113602.jpg,122131498653113602.txt
paired,122105187231113602,122105187231113602.jpg,122105187231113602.txt
paired,122112621561113602,122112621561113602.jpg,122112621561113602.txt
paired,122116299459113602,122116299459113602.jpg,122116299459113602.txt
paired,122124020919113602,122124020919113602.jpg,122124020919113602.txt
paired,122124017763113602,122124017763113602.jpg,122124017763113602.txt
paired,122133059715113602,122133059715113602.jpg,122133059715113602.txt
paired,122128652325113602,122128652325113602.jpg,122128652325113602.txt
paired,122119062837113602,122119062837113602.jpg,122119062837113602.txt
paired,122128044069113602,122128044069113602.jpg,122128044069113602.txt
paired,122135948253113602,122135948253113602.jpg,122135948253113602.txt
paired,122136352317113602,122136352317113602.jpg,122136352317113602.txt
paired,122136352305113602,122136352305113602.jpg,122136352305113602.txt
paired,122124885069113602,122124885069113602.jpg,122124885069113602.txt
paired,122124809829113602,122124809829113602.jpg,122124809829113602.txt
paired,122133188793113602,122133188793113602.jpg,122133188793113602.txt
paired,122130926751113602,122130926751113602.jpg,122130926751113602.txt
paired,122136352299113602,122136352299113602.jpg,122136352299113602.txt
